country,year,presumed_cases,confirmed_cases,estimated_deaths,mortality_rate,treated_cases,total_cases,treated_rate
AFG,2018,51174,248689,292,1.0,31114,299863,10.38
AFG,2019,1034,173860,170,0.6,169504,174894,96.92
AFG,2020,150,105295,110,0.4,103466,105445,98.12
AGO,2018,777685,5150575,13489,43.8,6092332,5928260,102.77
AGO,2019,475810,7054978,13622,42.8,5575259,7530788,74.03
AGO,2020,556783,6599327,15989,48.6,5797209,7156110,81.01
ARG,2018,0,23,0,0.0,0,23,0.0
ARG,2019,0,0,0,0.0,0,0,0.0
ARM,2018,0,6,0,0.0,0,6,0.0
ARM,2020,0,3,0,0.0,0,3,0.0
AZE,2018,0,2,0,0.0,0,2,0.0
BDI,2018,182925,4966511,5237,46.9,4903851,5149436,95.23
BDI,2019,24310,9959533,5284,45.8,8444710,9983843,84.58
BDI,2020,12236,4720103,5822,49.0,4289288,4732339,90.64
BEN,2018,280134,1975812,9898,86.2,340062,2255946,15.07
BEN,2019,188647,2895878,9889,83.8,2353657,3084525,76.31
BEN,2020,115859,2516465,10123,83.5,2095303,2632324,79.6
BFA,2018,1712176,10278970,19064,96.5,10807674,11991146,90.13
BFA,2019,597601,5877426,18813,92.6,11223002,6475027,173.33
BFA,2020,967358,10600340,19979,95.6,10237424,11567698,88.5
BGD,2018,0,10523,26,0.1,10459,10523,99.39
BGD,2019,0,17225,47,0.3,17225,17225,100.0
BGD,2020,0,6130,15,0.1,6130,6130,100.0
BLZ,2018,0,7,0,0.0,0,7,0.0
BLZ,2019,0,2,0,0.0,2,2,100.0
BLZ,2020,0,0,0,0.0,0,0,0.0
BOL,2018,0,5354,2,0.0,5920,5354,110.57
BOL,2019,0,9357,4,0.1,9357,9357,100.0
BOL,2020,0,12187,6,0.1,12093,12187,99.23
BRA,2018,0,194573,56,0.1,0,194573,0.0
BRA,2019,0,157454,36,0.1,491126,157454,311.92
BRA,2020,0,145188,42,0.1,172047,145188,118.5
BTN,2018,0,54,0,0.0,54,54,100.0
BTN,2019,0,42,0,0.0,235,42,559.52
BTN,2020,0,54,0,0.0,54,54,100.0
